"url","sci_name","common_name","habitat","venom_stat","threat_to_humans","human_uses1","human_uses2","IUCN_red_list_status","physical_characters","model_predictions"
"https://www.fishbase.se/summary/Fundulus-heteroclitus.html","Fundulus heteroclitus (Linnaeus, 1766)","Mummichog","Marine; freshwater; brackish;  benthopelagic; non-migratory. Temperate; 10°C - 24°C (Ref. 12468); 52°N -   28°N, 82°W -   55°W","nonvenomous","Harmless","Aquarium: commercial","Threat to humans  
				
				
					  Harmless","Least Concern (LC) ; Date assessed: 01 February 2012","Maturity: Lm ?, range 4 - ? cm Max length : 15.0 cm TL male/unsexed; (Ref. 27139); common length : 8.9 cm TL male/unsexed; (Ref. 12193); max. reported age: 4 years (Ref. 59043)","Preferred temperature (Ref. 123201): 6.1 - 23.7, mean 9.3 °C (based on 163 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00933 (0.00721 - 0.01208), b=3.17 (3.10 - 3.24), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.6   ±0.48 se; based on food items.					

				
					
					
						 Generation time: 1.5 ( na - na) years. Estimated as median ln(3)/K based on 1 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (tm<1; tmax=4).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (19 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 82.9 [39.2, 188.9] mg/100g; Iron = 0.442 [0.225, 0.881] mg/100g; Protein = 17.9 [16.5, 19.2] %; Omega3 = 0.594 [0.249, 1.464] g/100g; Selenium = 4.78 [1.73, 11.60] μg/100g; VitaminA = 29.2 [7.9, 115.4] μg/100g; Zinc = 1.09 [0.70, 1.68] mg/100g (wet weight);"
"https://www.fishbase.se/summary/Adinia-xenica.html",NA,NA,NA,"nonvenomous",NA,NA,NA,NA,NA,NA
"https://www.fishbase.se/summary/Fundulus-blairae.html","Fundulus blairae Wiley & Hall, 1975","Western starhead topminnow","Freshwater;  benthopelagic; non-migratory. Subtropical","nonvenomous","Harmless","FAO - Publication: search  | FishSource |","","Least Concern (LC) ; Date assessed: 30 January 2012","Maturity: Lm ?  range ? - ? cm Max length : 8.0 cm TL male/unsexed; (Ref. 27139)","Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016"
"https://www.fishbase.se/summary/Fundulus-chrysotus.html",NA,NA,NA,"nonvenomous",NA,NA,NA,NA,NA,NA
"https://www.fishbase.se/summary/Membras-martinica.html","Membras martinica (Valenciennes, 1835)","Rough silverside","Marine;  pelagic-neritic; depth range 3 - 15 m (Ref. 27549). Subtropical; 41°N -   24°N, 96°W -   71°W","nonvenomous","Harmless","","Threat to humans  
				
				
					  Harmless","Least Concern (LC) ; Date assessed: 12 June 2018","Maturity: Lm ?  range ? - ? cm Max length : 12.5 cm TL male/unsexed; (Ref. 7251)","Preferred temperature (Ref. 123201): 12.8 - 26.1, mean 23.5 °C (based on 147 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5156   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00513 (0.00229 - 0.01150), b=3.08 (2.89 - 3.27), in cm total length, based on LWR estimates for this (Sub)family-body shape (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.2   ±0.2 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 247 [142, 526] mg/100g; Iron = 2.24 [1.27, 3.83] mg/100g; Protein = 19 [17, 22] %; Omega3 = 0.336 [0.146, 0.888] g/100g; Selenium = 15.1 [6.8, 35.4] μg/100g; VitaminA = 27.3 [8.5, 88.0] μg/100g; Zinc = 1.29 [0.86, 1.93] mg/100g (wet weight);"
"https://www.fishbase.se/summary/Labidesthes-sicculus.html","Labidesthes sicculus (Cope, 1865)","Brook silverside","Freshwater;  pelagic. Subtropical; 5°C - 20°C (Ref. 13614); 46°N -   25°N","nonvenomous","Harmless","Bait: usually","Threat to humans  
				
				
					  Harmless","Least Concern (LC) ; Date assessed: 21 February 2012","Maturity: Lm7.0  range ? - ? cm Max length : 13.0 cm TL male/unsexed; (Ref. 5723); common length : 8.4 cm TL male/unsexed; (Ref. 12193); max. reported age: 2.00 years (Ref. 12193)","Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.7500   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00437 (0.00232 - 0.00821), b=3.04 (2.87 - 3.21), in cm total length, based on LWR estimates for this species & (Sub)family-body  (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.4   ±0.45 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (K=3.70; tmax=2).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100)."
"https://www.fishbase.se/summary/Poblana-ferdebueni.html","Poblana ferdebueni Solórzano & López, 1965","Chignahuapan silverside","Freshwater;  pelagic. Tropical","nonvenomous","Harmless","FAO - Publication: search  | FishSource |","","Critically Endangered (CR) (B1ab(iii)); Date assessed: 03 May 2018","Maturity: Lm ?  range ? - ? cm","Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016"
"https://www.fishbase.se/summary/Menidia-beryllina.html","Menidia beryllina (Cope, 1867)","Inland silverside","Marine; freshwater; brackish;  pelagic-neritic; depth range 0 - 30 m (Ref. 108940). Subtropical; 42°N -   25°N, 98°W -   70°W","nonvenomous","Harmless","","Threat to humans  
				
				
					  Harmless","Least Concern (LC) ; Date assessed: 12 June 2018","Maturity: Lm ?  range ? - ? cm Max length : 15.0 cm TL male/unsexed; (Ref. 5723); common length : 7.8 cm TL male/unsexed; (Ref. 12193); max. reported age: 2.00 years (Ref. 72478)","Preferred temperature (Ref. 123201): 12.7 - 26.1, mean 23.7 °C (based on 181 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5039   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00513 (0.00229 - 0.01150), b=3.08 (2.89 - 3.27), in cm total length, based on LWR estimates for this (Sub)family-body shape (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.2   ±0.3 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (tmax=1).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 206 [121, 411] mg/100g; Iron = 2.03 [1.22, 3.31] mg/100g; Protein = 19.2 [16.9, 21.9] %; Omega3 = 0.373 [0.168, 0.930] g/100g; Selenium = 16.1 [7.7, 34.4] μg/100g; VitaminA = 24 [9, 63] μg/100g; Zinc = 1.42 [0.99, 2.00] mg/100g (wet weight);"
"https://www.fishbase.se/summary/Menidia-menidia.html","Menidia menidia (Linnaeus, 1766)","Atlantic silverside","Marine; brackish;  pelagic-neritic; oceanodromous (Ref. 51243); depth range 0 - 3 m (Ref. 85409). Temperate; 1°C - 33°C (Ref. 35682); 60°N -   25°N, 82°W -   52°W","nonvenomous","Harmless","Fisheries: minor commercial; aquarium: commercial","Threat to humans  
				
				
					  Harmless","Least Concern (LC) ; Date assessed: 29 January 2013","Maturity: Lm ?  range ? - ? cm Max length : 15.0 cm TL male/unsexed; (Ref. 7251); common length : 11.5 cm TL male/unsexed; (Ref. 12193); max. reported age: 2.00 years (Ref. 12193)","Preferred temperature (Ref. 123201): 0.7 - 24.5, mean 8.8 °C (based on 225 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5039   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00525 (0.00284 - 0.00970), b=3.07 (2.90 - 3.24), in cm total length, based on LWR estimates for this species & (Sub)family-body  (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.2   ±0.1 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (K=1.1-1.4; tmax=2).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (13 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate to high vulnerability (50 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Low."
"https://www.fishbase.se/summary/Menidia-peninsulae.html","Menidia peninsulae (Goode & Bean, 1879)","Tidewater silverside","Marine; brackish;  pelagic-neritic. Tropical","nonvenomous","Harmless","","Threat to humans  
				
				
					  Harmless","Least Concern (LC) ; Date assessed: 06 December 2018","Maturity: Lm ?  range ? - ? cm Max length : 15.0 cm TL male/unsexed; (Ref. 7251)","Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5039   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00513 (0.00229 - 0.01150), b=3.08 (2.89 - 3.27), in cm total length, based on LWR estimates for this (Sub)family-body shape (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.2   ±0.3 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100)."
"https://www.fishbase.se/summary/Atherinopsis-californiensis.html",NA,NA,NA,"nonvenomous",NA,NA,NA,NA,NA,NA
"https://www.fishbase.se/summary/Odontesthes-argentinensis.html","Odontesthes argentinensis (Valenciennes, 1835)","","Marine; freshwater; brackish;  pelagic-neritic. Subtropical; 23°S -   42°S, 63°W -   44°W","nonvenomous","Harmless","Fisheries: of no interest","Threat to humans  
				
				
					  Harmless","Not Evaluated","Maturity: Lm16.1  range ? - ? cm Max length : 42.1 cm TL male/unsexed; (Ref. 39376)","Preferred temperature (Ref. 123201): 12.1 - 19.6, mean 15.9 °C (based on 110 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00575 (0.00335 - 0.00989), b=3.02 (2.87 - 3.17), in cm total length, based on LWR estimates for this species & (Sub)family-body  (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.7   ±0.3 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low to moderate vulnerability (32 of 100)."
"https://www.fishbase.se/summary/Odontesthes-bonariensis.html","Odontesthes bonariensis (Valenciennes, 1835)","Argentinian silverside","Marine; freshwater; brackish;  pelagic-neritic; depth range 1 - ? m (Ref. 27363). Subtropical; 11°C - 24°C (Ref. 52052); 26°S -   41°S","nonvenomous","Potential pest","Fisheries: minor commercial; aquaculture: commercial; gamefish: yes","Threat to humans  
				
				
					  Potential pest","Data deficient (DD) ; Date assessed: 06 August 2020","Maturity: Lm13.2  range ? - ? cm Max length : 50.0 cm TL male/unsexed; (Ref. 12187); max. reported age: 4 years (Ref. 59043)","Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00741 (0.00403 - 0.01363), b=3.01 (2.84 - 3.18), in cm total length, based on LWR estimates for this species & (Sub)family-body  (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.6   ±0.24 se; based on food items.					

				
					
					
						 Generation time: 2.0 (1.5 - 2.8) years. Estimated as median ln(3)/K based on 32 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.1; tmax=4).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (24 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown."
"https://www.fishbase.se/summary/Odontesthes-retropinnis.html","Odontesthes retropinnis (de Buen, 1953)","","Freshwater;  benthopelagic. Temperate","nonvenomous","Harmless","FAO - Publication: search  | FishSource |","","Data deficient (DD) ; Date assessed: 06 August 2020","Maturity: Lm ?  range ? - ? cm Max length : 20.3 cm SL male/unsexed; (Ref. 116661)","Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016"
"https://www.fishbase.se/summary/Odontesthes-humensis.html","Odontesthes humensis de Buen, 1953","","Freshwater;  benthopelagic. Temperate","nonvenomous","Harmless","","Threat to humans  
				
				
					  Harmless","Least Concern (LC) ; Date assessed: 06 August 2020","Maturity: Lm ?  range ? - ? cm Max length : 35.0 cm TL male/unsexed; (Ref. 128590); max. published weight: 436.60 g (Ref. 128590)","Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00603 (0.00275 - 0.01321), b=3.01 (2.82 - 3.20), in cm total length, based on LWR estimates for this (Sub)family-body shape (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.6   ±0.3 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (25 of 100)."
"https://www.fishbase.se/summary/Iso-sp.html",NA,NA,NA,"nonvenomous",NA,NA,NA,NA,NA,NA
"https://www.fishbase.se/summary/Phenacostethus-smithi.html","Phenacostethus smithi Myers, 1928","Smith's priapium fish","Freshwater; brackish;  benthopelagic. Tropical","nonvenomous","Harmless","","Threat to humans  
				
				
					  Harmless","Least Concern (LC) ; Date assessed: 17 December 2019","Maturity: Lm ?  range ? - ? cm Max length : 2.0 cm TL male/unsexed; (Ref. 12693)","Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.6250   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00389 (0.00180 - 0.00842), b=3.12 (2.94 - 3.30), in cm total length, based on all LWR estimates for this body shape (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.5   ±0.50 se; based on food items.					

				
					
					
											
				



				
									
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100)."
"https://www.fishbase.se/summary/Pseudomugil-signifer.html",NA,NA,NA,"nonvenomous",NA,NA,NA,NA,NA,NA
"https://www.fishbase.se/summary/Pseudomugil-gertrudae.html",NA,NA,NA,"nonvenomous",NA,NA,NA,NA,NA,NA
"https://www.fishbase.se/summary/Marosatherina-ladigesi.html",NA,NA,NA,"nonvenomous",NA,NA,NA,NA,NA,NA
"https://www.fishbase.se/summary/Rhadinocentrus-ornatus.html","Rhadinocentrus ornatus Regan, 1914","Ornate rainbowfish","Freshwater;  pelagic; pH range: 6.0 - 6.5; dH range: 4 - 8. Tropical; 20°C - 30°C (Ref. 2060)","nonvenomous","Harmless","FAO - Publication: search  | FishSource |","","Vulnerable (VU) (B2ab(iii)); Date assessed: 12 February 2019","Maturity: Lm ?  range ? - ? cm Max length : 6.0 cm SL male/unsexed; (Ref. 44894); 3.5 cm SL (female); common length : 4.0 cm SL male/unsexed; (Ref. 44894)","Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016"
"https://www.fishbase.se/summary/Melanotaenia-splendida.html",NA,NA,NA,"nonvenomous",NA,NA,NA,NA,NA,NA
"https://www.fishbase.se/summary/Melanotaenia-sp.html",NA,NA,NA,"nonvenomous",NA,NA,NA,NA,NA,NA
"https://www.fishbase.se/summary/Melanotaenia-trifasciata.html","Melanotaenia trifasciata (Rendahl, 1922)","Banded rainbowfish","Freshwater;  benthopelagic; pH range: 7.0 - 8.0; dH range: 9 - 19. Tropical; 25°C - 30°C (Ref. 2060)","nonvenomous","Harmless","FAO - Publication: search  | FishSource |","Aquarium: commercial","Least Concern (LC) ; Date assessed: 15 February 2019","Maturity: Lm ?  range ? - ? cm Max length : 13.0 cm SL male/unsexed; (Ref. 44894); common length : 8.0 cm SL male/unsexed; (Ref. 44894)","Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016"
"https://www.fishbase.se/summary/Craterocephalus-honoriae.html","Craterocephalus honoriae (Ogilby, 1912)","Estuarine hardyhead","Marine; brackish;  demersal. Temperate","nonvenomous","Harmless","Fisheries: of no interest","Threat to humans  
				
				
					  Harmless","Not Evaluated","Maturity: Lm ?  range ? - ? cm Max length : 7.0 cm TL male/unsexed; (Ref. 9760)","Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00389 (0.00180 - 0.00842), b=3.12 (2.94 - 3.30), in cm total length, based on all LWR estimates for this body shape (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.2   ±0.40 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100)."
"https://www.fishbase.se/summary/Atherinomorus-vaigiensis.html","Atherinomorus vaigiensis (Quoy & Gaimard, 1825)","Ogilby's hardyhead","Marine; brackish;  pelagic-neritic. Subtropical","nonvenomous","Harmless","Fisheries: minor commercial","Threat to humans  
				
				
					  Harmless","Not Evaluated","Maturity: Lm ?  range ? - ? cm Max length : 17.0 cm TL male/unsexed; (Ref. 36661); max. reported age: 2.00 years (Ref. 9760)","Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5005   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00562 (0.00244 - 0.01296), b=3.11 (2.91 - 3.31), in cm total length, based on LWR estimates for this (Sub)family-body shape (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.3   ±0.4 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (tm=2).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Medium."
